







SparkFun Displacement Sensor Example
waiting to start...

















































Characterizing Negative Y





































































































































































































































































































































371961.00,-7.97,-3.86,23
372014.00,-7.97,-3.21,23
372066.00,-7.97,-3.21,23
372118.00,-7.97,-3.21,23
372170.00,-7.97,-3.21,23
372224.00,-7.97,-3.76,23
372276.00,-7.97,-3.76,23
372328.00,-7.97,-3.76,23
372380.00,-7.97,-3.00,23
372432.00,-7.97,-3.00,23
372485.00,-7.97,-3.74,23
372537.00,-7.97,-3.74,23
372589.00,-7.97,-3.74,23
372642.00,-7.97,-4.31,23
372695.00,-7.97,-4.31,23
372747.00,-7.97,-4.31,23
372799.00,-7.97,-4.31,23
372851.00,-7.97,-4.31,23
372903.00,-7.97,-4.93,23
372956.00,-7.97,-4.93,23
373008.00,-7.97,-4.93,23
373060.00,-7.97,-4.27,23
373113.00,-7.97,-4.27,23
373166.00,-7.97,-4.27,23
373218.00,-7.97,-5.12,23
373270.00,-7.97,-5.12,23
373322.00,-7.97,-5.12,23
373374.00,-7.97,-3.90,23
373427.00,-7.97,-3.90,23
373479.00,-7.97,-4.83,23
373532.00,-7.97,-4.83,23
373584.00,-7.97,-4.83,23
373637.00,-7.97,-4.83,23
373689.00,-7.97,-4.83,23
373741.00,-7.97,-4.83,23
373793.00,-7.97,-4.83,23
373846.00,-7.97,-5.47,23
373898.00,-7.97,-5.47,23
373951.00,-7.97,-5.47,23
374003.00,-7.97,-4.76,23
374055.00,-7.97,-4.76,23


















































activating antagonistic y
2, 6.68
activating antagonistic y
2, 7.39






















































































































































































































































































































































































































































































